date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:21	262029/262029	---M-Z	200	added ('OK')	application/javascript	etag:%225f9f9048-3ff8d%22	http://cdnjs.cloudflare.com/ajax/libs/bodymovin/5.7.4/lottie.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdnjs.cloudflare.com/ajax/libs/bodymovin/5.7.4/lottie.min.js	(from https://dogeland.io/)
23:20:21	34062/34062	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2017%20Mar%202021%2019:47:17%20GMT	https://dogeland.io/files/style.js?r=1616797212	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/stylec23d.js	(from https://dogeland.io/about/privacy)
23:20:21	125876/125876	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Jul%202020%2022:46:44%20GMT	https://cdn.firebase.com/js/client/2.0.4/firebase.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.firebase.com/js/client/2.0.4/firebase.js	(from https://dogeland.io/about/privacy)
23:20:21	549420/549420	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:00%20GMT	https://dogeland.io/files/doge1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/doge1.svg	(from https://dogeland.io/about/privacy)
23:20:21	34248/34248	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Mar%202021%2011:33:08%20GMT	https://dogeland.io/files/custom.css?r=1616797213	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/custome1e4.css	(from https://dogeland.io/about/tos)
23:20:22	34062/34062	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2017%20Mar%202021%2019:47:17%20GMT	https://dogeland.io/files/style.js?r=1616797213	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/stylee1e4.js	(from https://dogeland.io/about/tos)
23:20:22	171/171	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Mar%202021%2006:50:23%20GMT	https://dogeland.io/_autoindex/icons/blank.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/_autoindex/icons/blank.png	(from https://dogeland.io/files/)
23:20:23	1139/1139	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Mar%202021%2006:50:23%20GMT	https://dogeland.io/_autoindex/icons/up.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/_autoindex/icons/up.png	(from https://dogeland.io/files/)
23:20:23	14054/14054	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:22%20GMT	https://dogeland.io/files/?ND	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/index9a11.html	(from https://dogeland.io/files/)
23:20:23	14054/14054	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:22%20GMT	https://dogeland.io/files/?MA	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/index2a60.html	(from https://dogeland.io/files/)
23:20:23	1114/1114	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Mar%202021%2006:50:23%20GMT	https://dogeland.io/_autoindex/icons/image.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/_autoindex/icons/image.png	(from https://dogeland.io/files/)
23:20:23	14054/14054	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:23%20GMT	https://dogeland.io/files/?SA	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/index3dd6.html	(from https://dogeland.io/files/)
23:20:24	14054/14054	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:23%20GMT	https://dogeland.io/files/?DA	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/index0389.html	(from https://dogeland.io/files/)
23:20:24	224820/224820	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:47%20GMT	https://dogeland.io/files/at1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/at1.svg	(from https://dogeland.io/files/)
23:20:24	955196/955196	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:47%20GMT	https://dogeland.io/files/aff_bg.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/aff_bg.png	(from https://dogeland.io/files/)
23:20:25	20681/20681	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:48%20GMT	https://dogeland.io/files/bgwc.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/bgwc.png	(from https://dogeland.io/files/)
23:20:25	104916/104916	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:48%20GMT	https://dogeland.io/files/bczhome.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/bczhome.png	(from https://dogeland.io/files/)
23:20:25	98955/98955	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:49%20GMT	https://dogeland.io/files/bgz.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/bgz.png	(from https://dogeland.io/files/)
23:20:25	93691/93691	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:49%20GMT	https://dogeland.io/files/bgz2.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/bgz2.png	(from https://dogeland.io/files/)
23:20:25	61878/61878	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:50%20GMT	https://dogeland.io/files/bgz3.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/bgz3.png	(from https://dogeland.io/files/)
23:20:26	549420/549420	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:52%20GMT	https://dogeland.io/files/character_1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/character_1.svg	(from https://dogeland.io/files/)
23:20:26	104361/104361	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:50%20GMT	https://dogeland.io/files/bgzhome.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/bgzhome.png	(from https://dogeland.io/files/)
23:20:27	224820/224820	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:52%20GMT	https://dogeland.io/files/character_2.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/character_2.svg	(from https://dogeland.io/files/)
23:20:27	815/815	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:52%20GMT	https://dogeland.io/files/check.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/check.svg	(from https://dogeland.io/files/)
23:20:27	34798/34798	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:53%20GMT	https://dogeland.io/files/cns1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns1.svg	(from https://dogeland.io/files/)
23:20:28	1348/1348	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:53%20GMT	https://dogeland.io/files/cns10.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns10.svg	(from https://dogeland.io/files/)
23:20:28	42969/42969	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:54%20GMT	https://dogeland.io/files/cns11.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns11.svg	(from https://dogeland.io/files/)
23:20:28	1821/1821	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:54%20GMT	https://dogeland.io/files/cns2.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns2.svg	(from https://dogeland.io/files/)
23:20:28	1686/1686	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:54%20GMT	https://dogeland.io/files/cns3.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns3.svg	(from https://dogeland.io/files/)
23:20:29	34798/34798	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:55%20GMT	https://dogeland.io/files/cns4.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns4.svg	(from https://dogeland.io/files/)
23:20:29	544/544	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:55%20GMT	https://dogeland.io/files/cns5.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns5.svg	(from https://dogeland.io/files/)
23:20:29	1988/1988	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:55%20GMT	https://dogeland.io/files/cns6.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns6.svg	(from https://dogeland.io/files/)
23:20:29	157053/157053	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:56%20GMT	https://dogeland.io/files/cns7.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns7.svg	(from https://dogeland.io/files/)
23:20:29	9502/9502	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:56%20GMT	https://dogeland.io/files/cns8.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns8.svg	(from https://dogeland.io/files/)
23:20:30	9164/9164	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:57%20GMT	https://dogeland.io/files/cns9.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cns9.svg	(from https://dogeland.io/files/)
23:20:30	197933/197933	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:58%20GMT	https://dogeland.io/files/ct1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ct1.svg	(from https://dogeland.io/files/)
23:20:30	1197/1197	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Mar%202021%2006:50:23%20GMT	https://dogeland.io/_autoindex/icons/html.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/_autoindex/icons/html.png	(from https://dogeland.io/files/)
